Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,Turkish,Hindi,Arabic,Bengali,,,,
EVENT_7,Jetpack Boots Equipped: All players have enhanced mobility gear,噴射背包靴裝備：所有玩家都有增強機動裝備,噴射背包靴裝備：所有玩家都有增強機動裝備,"Trang bị Giày phản lực: Tất cả người chơi có thiết bị di chuyển nâng cao","Sepatu Jetpack Dilengkapi: Semua pemain memiliki perlengkapan mobilitas yang ditingkatkan","Botas Jetpack equipadas: todos os jogadores têm equipamentos de mobilidade aprimorados","Botas Jetpack Equipadas: Todos los jugadores tienen equipo de movilidad mejorada",Ботинки с реактивным ранцем: у всех игроков есть снаряжение для повышения мобильности.,"Bottes Jetpack équipées : tous les joueurs disposent d'un équipement de mobilité amélioré",Jetpack Botları Donatıldı: Tüm oyuncuların gelişmiş hareket kabiliyeti ekipmanları var,जेटपैक बूट्स से सुसज्जित: सभी खिलाड़ियों के पास उन्नत गतिशीलता गियर हैं,"تم تجهيز أحذية Jetpack: يتمتع جميع اللاعبين بمعدات تنقل محسنة","জেটপ্যাক বুটস সজ্জিত: সমস্ত খেলোয়াড়ের গতিশীলতা গিয়ার উন্নত",في هذه الجولة ، كل شخص لديه أحذية حزمة نفاثة,ဒီပတ်ပတ်လည်မှာလူတိုင်းဂျက်ထုပ်ဖိနပ်တွေရှိတယ်,اس دور میں ، ہر ایک کے پاس جیٹ پیک کے جوتے ہیں,"এই রাউন্ডে, প্রত্যেকের জেট প্যাক জুতা রয়েছে"
EVENT_UNKNOWN,First-Person Perspective Mode: All players switched to FPP view,第一人稱視角模式：所有玩家切換到 FPP 視角,第一人稱視角模式：所有玩家切換到 FPP 視角,"Chế độ Góc nhìn người thứ nhất: Tất cả người chơi chuyển sang chế độ FPP","Mode Perspektif Orang Pertama: Semua pemain dialihkan ke tampilan FPP","Modo de perspectiva em primeira pessoa: todos os jogadores mudaram para a visão FPP","Modo de perspectiva en primera persona: todos los jugadores cambiaron a la vista FPP",Режим вида от первого лица: все игроки перешли на вид от первого лица.,"Mode perspective à la première personne : tous les joueurs sont passés en vue FPP",Birinci Şahıs Perspektif Modu: Tüm oyuncular FPP görünümüne geçti,प्रथम-व्यक्ति परिप्रेक्ष्य मोड: सभी खिलाड़ी FPP दृश्य पर स्विच हो गए,"وضع منظور الشخص الأول: تم تحويل جميع اللاعبين إلى وضع منظور الشخص الأول","প্রথম-ব্যক্তি দৃষ্টিকোণ মোড: সমস্ত খেলোয়াড় FPP ভিউতে স্যুইচ করেছে",في هذه الجولة، يتغير الجميع إلى FPP,ဤအဝိုင်းတွင် လူတိုင်း FPP သို့ပြောင်းသည်။,اس دور میں، ہر کوئی FPP میں تبدیل ہو جاتا ہے۔,"এই রাউন্ডে, সবাই এফপিপিতে পরিবর্তন করে"
EVENT_8,Night Mode Activated: Battlefield transitions to nighttime conditions,夜間模式啟動：戰場轉入夜間狀態,夜間模式啟動：戰場轉入夜間狀態,"Chế độ Ban đêm đã kích hoạt: Chiến trường chuyển sang điều kiện ban đêm","Mode Malam Diaktifkan: Medan perang beralih ke kondisi malam hari",Modo noturno ativado: o campo de batalha muda para condições noturnas,"Modo nocturno activado: el campo de batalla cambia a condiciones nocturnas.",Ночной режим активирован: поле боя переходит в ночные условия.,"Mode nuit activé : le champ de bataille passe aux conditions nocturnes",Gece Modu Etkinleştirildi: Savaş alanı gece koşullarına geçiş yapıyor,रात्रि मोड सक्रिय: युद्धक्षेत्र से रात्रिकालीन परिस्थितियों में परिवर्तन,تم تنشيط الوضع الليلي: ينتقل ساحة المعركة إلى ظروف الليل,"নাইট মোড সক্রিয় করা হয়েছে: যুদ্ধক্ষেত্রে রাতের অবস্থার পরিবর্তন",في هذه الجولة يأتي الليل,ဤအဝိုင်းတွင် ညဘက်ရောက်သည်။,اس چکر میں رات آتی ہے۔,এই চক্রে রাত আসে
EVENT_9,High Power Mode: All players deal increased damage with all weapons,高功率模式：所有玩家使用所有武器造成的傷害增加,高功率模式：所有玩家使用所有武器造成的傷害增加,Chế độ Sát thương Cao: Tất cả người chơi gây sát thương tăng cường với mọi vũ khí,Mode Daya Tinggi: Semua pemain memberikan peningkatan kerusakan dengan semua senjata,Modo de alta potência: todos os jogadores causam mais dano com todas as armas,Modo de alto poder: todos los jugadores infligen mayor daño con todas las armas.,Режим высокой мощности: все игроки наносят увеличенный урон любым оружием.,Mode haute puissance : tous les joueurs infligent des dégâts accrus avec toutes les armes,Yüksek Güç Modu: Tüm oyuncular tüm silahlarla daha fazla hasar verir,उच्च शक्ति मोड: सभी खिलाड़ी सभी हथियारों से अधिक क्षति पहुंचाते हैं,وضع القوة العالية: جميع اللاعبين يتعاملون مع ضرر متزايد بكل الأسلحة,হাই পাওয়ার মোড: সমস্ত খেলোয়াড় সমস্ত অস্ত্রের সাথে বর্ধিত ক্ষতি মোকাবেলা করে,,,,
EVENT_10,Reduced Damage Mode: All weapons deal decreased damage to enemies,減少傷害模式：所有武器對敵人造成的傷害降低,減少傷害模式：所有武器對敵人造成的傷害降低,Chế độ Sát thương Giảm: Tất cả vũ khí gây sát thương giảm với kẻ địch,Mode Kerusakan Berkurang: Semua senjata memberikan kerusakan berkurang pada musuh,Modo de dano reduzido: todas as armas causam dano reduzido aos inimigos,Modo de daño reducido: todas las armas infligen daño reducido a los enemigos.,Режим уменьшенного урона: все оружие наносит врагам уменьшенный урон.,Mode de dégâts réduits : toutes les armes infligent des dégâts réduits aux ennemis,Azaltılmış Hasar Modu: Tüm silahlar düşmanlara azaltılmış hasar verir,कम क्षति मोड: सभी हथियार दुश्मनों को कम क्षति पहुँचाते हैं,وضع تقليل الضرر: جميع الأسلحة تسبب ضررًا أقل للأعداء,হ্রাসকৃত ক্ষতি মোড: সমস্ত অস্ত্র চুক্তি শত্রুদের ক্ষতি হ্রাস করেছে,,,,
S_EVENT_0,Big-Head Mode,大頭模式,ตัวใหญ่,Đầu to,Mode Kepala Besar,Modo Cabeça Grande,Modo Cabeza Grande,Режим большой головы,Mode Grosse Tête,Büyük Kafa Modu,बिग-हेड मोड,وضع الرأس الكبير,বিগ-হেড মোড,,,,
S_EVENT_1,Anti-Gravity Zone,反重力區,反重力區,Không trọng lực,Zona Anti-Gravitasi,Zona Antigravidade,Zona antigravedad,Зона антигравитации,Zone anti-gravité,Anti-Yerçekimi Bölgesi,एंटी-ग्रेविटी ज़ोन,منطقة مضادة للجاذبية,অ্যান্টি-গ্রাভিটি জোন,,,,
S_EVENT_2,Enhanced Glowwall,增強型發光牆,增強型發光牆,Nhiều Bom keo,Glowwall yang Disempurnakan,Glowwall aprimorado,Glowwall mejorado,Улучшенная светящаяся стена,Mur lumineux amélioré,Geliştirilmiş Glowwall,उन्नत ग्लोवॉल,جدار متوهج محسّن,বর্ধিত Glowwall,,,,
S_EVENT_3,Explosive Arsenal,爆炸性武器庫,爆炸性武器庫,Bùng nổ,Arsenal yang Meledak,Arsenal Explosivo,Arsenal explosivo,Взрывной арсенал,Arsenal explosif,Patlayıcı Cephanelik,विस्फोटक शस्त्रागार,ترسانة متفجرة,বিস্ফোরক অস্ত্রাগার,,,,
S_EVENT_4,Speed Boost,加速,加速,Tăng tốc,Peningkatan Kecepatan,Aumento de velocidade,Aumento de velocidad,Увеличение скорости,Augmentation de vitesse,Hız Artışı,गति बढ़ाएँ,تعزيز السرعة,স্পিড বুস্ট,,,,
S_EVENT_5,Shrinking Effect,收縮效應,收縮效應,Thu nhỏ,Efek Menyusut,Efeito de encolhimento,Efecto de contracción,Эффект сжатия,Effet de rétrécissement,Büzülme Etkisi,सिकुड़न प्रभाव,تأثير الانكماش,সঙ্কুচিত প্রভাব,,,,
S_EVENT_6,Enlarging Effect,放大效應,放大效應,Phóng to,Efek Pembesaran,Efeito de ampliação,Efecto de ampliación,Эффект увеличения,Effet d'agrandissement,Büyütme Etkisi,विस्तार प्रभाव,تأثير التكبير,বর্ধিত প্রভাব,,,,
S_EVENT_7,Jatpack Boots,獵人靴,獵人靴,Giày phản lực,Sepatu bot Jatpack,Botas Jatpack,Botas Jatpack,Ботинки Jatpack,Bottes Jatpack,Jatpack Botları,जटपैक बूट्स,أحذية جاتباك,জাটপ্যাক বুট,,,,
S_EVENT_UNKNOWN,First-Person Perspective,第一人稱視角,第一人稱視角,Góc nhìn thứ nhất,Perspektif Orang Pertama,Perspectiva em primeira pessoa,Perspectiva en primera persona,Вид от первого лица,Perspective à la première personne,Birinci Şahıs Bakış Açısı,प्रथम-व्यक्ति परिप्रेक्ष्य,منظور الشخص الأول,প্রথম ব্যক্তি দৃষ্টিকোণ,,,,
S_EVENT_8,Night Mode,夜間模式,夜間模式,Chế độ Ban đêm,Mode Malam,Modo noturno,Modo nocturno,Ночной режим,Mode nuit,Gece Modu,रात का मोड,الوضع الليلي,নাইট মোড,,,,
S_EVENT_9,High Power,高功率,高功率,Tăng sát thương,Daya Tinggi,Alta potência,Energía alta,Высокая мощность,Haute puissance,Yüksek Güç,उच्च शक्ति,قوة عالية,উচ্চ ক্ষমতা,,,,
S_EVENT_10,Reduced Damage,減少傷害,減少傷害,Giảm sát thương,Kerusakan Berkurang,Dano reduzido,Daño reducido,Уменьшенный урон,Dégâts réduits,Azaltılmış Hasar,कम क्षति,تقليل الضرر,ক্ষয়ক্ষতি হ্রাস,,,,
